Skull,Period,Maximum_breadth,Basibregmatic_height,Basialveolar_length,Nasal_height
1,Early_predynastic,131,138,89,49
2,Early_predynastic,125,131,92,48
3,Early_predynastic,131,132,99,50
4,Early_predynastic,119,132,96,44
5,Early_predynastic,136,143,100,54
6,Early_predynastic,138,137,89,56
7,Early_predynastic,139,130,108,48
8,Early_predynastic,125,136,93,48
9,Early_predynastic,131,134,102,51
10,Early_predynastic,134,134,99,51
11,Early_predynastic,129,138,95,50
12,Early_predynastic,134,121,95,53
13,Early_predynastic,126,129,109,51
14,Early_predynastic,132,136,100,50
15,Early_predynastic,141,140,100,51
16,Early_predynastic,131,134,97,54
17,Early_predynastic,135,137,103,50
18,Early_predynastic,132,133,93,53
19,Early_predynastic,139,136,96,50
20,Early_predynastic,132,131,101,49
21,Early_predynastic,126,133,102,51
22,Early_predynastic,135,135,103,47
23,Early_predynastic,134,124,93,53
24,Early_predynastic,128,134,103,50
25,Early_predynastic,130,130,104,49
26,Early_predynastic,138,135,100,55
27,Early_predynastic,128,132,93,53
28,Early_predynastic,127,129,106,48
29,Early_predynastic,131,136,114,54
30,Early_predynastic,124,138,101,46
