Skull,Period,Maximum_breadth,Basibregmatic_height,Basialveolar_length,Nasal_height
1,Early_predynastic,131,138,89,49
2,Early_predynastic,125,131,92,48
3,Early_predynastic,131,132,99,50
4,Early_predynastic,119,132,96,44
5,Early_predynastic,136,143,100,54
6,Early_predynastic,138,137,89,56
7,Early_predynastic,139,130,108,48
8,Early_predynastic,125,136,93,48
9,Early_predynastic,131,134,102,51
10,Early_predynastic,134,134,99,51
11,Early_predynastic,129,138,95,50
12,Early_predynastic,134,121,95,53
13,Early_predynastic,126,129,109,51
14,Early_predynastic,132,136,100,50
15,Early_predynastic,141,140,100,51
16,Early_predynastic,131,134,97,54
17,Early_predynastic,135,137,103,50
18,Early_predynastic,132,133,93,53
19,Early_predynastic,139,136,96,50
20,Early_predynastic,132,131,101,49
21,Early_predynastic,126,133,102,51
22,Early_predynastic,135,135,103,47
23,Early_predynastic,134,124,93,53
24,Early_predynastic,128,134,103,50
25,Early_predynastic,130,130,104,49
26,Early_predynastic,138,135,100,55
27,Early_predynastic,128,132,93,53
28,Early_predynastic,127,129,106,48
29,Early_predynastic,131,136,114,54
30,Early_predynastic,124,138,101,46
31,Late_predynastic,124,138,101,48
32,Late_predynastic,133,134,97,48
33,Late_predynastic,138,134,98,45
34,Late_predynastic,148,129,104,51
35,Late_predynastic,126,124,95,45
36,Late_predynastic,135,136,98,52
37,Late_predynastic,132,145,100,54
38,Late_predynastic,133,130,102,48
39,Late_predynastic,131,134,96,50
40,Late_predynastic,133,125,94,46
41,Late_predynastic,133,136,103,53
42,Late_predynastic,131,139,98,51
43,Late_predynastic,131,136,99,56
44,Late_predynastic,138,134,98,49
45,Late_predynastic,130,136,104,53
46,Late_predynastic,131,128,98,45
47,Late_predynastic,138,129,107,53
48,Late_predynastic,123,131,101,51
49,Late_predynastic,130,129,105,47
50,Late_predynastic,134,130,93,54
51,Late_predynastic,137,136,106,49
52,Late_predynastic,126,131,100,48
53,Late_predynastic,135,136,97,52
54,Late_predynastic,129,126,91,50
55,Late_predynastic,134,139,101,49
56,Late_predynastic,131,134,90,53
57,Late_predynastic,132,130,104,50
58,Late_predynastic,130,132,93,52
59,Late_predynastic,135,132,98,54
60,Late_predynastic,130,128,101,51
61,12th_and_13th_Dynasty,137,141,96,52
62,12th_and_13th_Dynasty,129,133,93,47
63,12th_and_13th_Dynasty,132,138,87,48
64,12th_and_13th_Dynasty,130,134,106,50
65,12th_and_13th_Dynasty,134,134,96,45
66,12th_and_13th_Dynasty,140,133,98,50
67,12th_and_13th_Dynasty,138,138,95,47
68,12th_and_13th_Dynasty,136,145,99,55
69,12th_and_13th_Dynasty,136,131,92,46
70,12th_and_13th_Dynasty,126,136,95,56
71,12th_and_13th_Dynasty,137,129,100,53
72,12th_and_13th_Dynasty,137,139,97,50
73,12th_and_13th_Dynasty,136,126,101,50
74,12th_and_13th_Dynasty,137,133,90,49
75,12th_and_13th_Dynasty,129,142,104,47
76,12th_and_13th_Dynasty,135,138,102,55
77,12th_and_13th_Dynasty,129,135,92,50
78,12th_and_13th_Dynasty,134,125,90,60
79,12th_and_13th_Dynasty,138,134,96,51
80,12th_and_13th_Dynasty,136,135,94,53
81,12th_and_13th_Dynasty,132,130,91,52
82,12th_and_13th_Dynasty,133,131,100,50
83,12th_and_13th_Dynasty,138,137,94,51
84,12th_and_13th_Dynasty,130,127,99,45
85,12th_and_13th_Dynasty,136,133,91,49
86,12th_and_13th_Dynasty,134,123,95,52
87,12th_and_13th_Dynasty,136,137,101,54
88,12th_and_13th_Dynasty,133,131,96,49
89,12th_and_13th_Dynasty,138,133,100,55
90,12th_and_13th_Dynasty,138,133,91,46
91,Ptolemaic_period,137,134,107,54
92,Ptolemaic_period,141,128,95,53
93,Ptolemaic_period,141,130,87,49
94,Ptolemaic_period,135,131,99,51
95,Ptolemaic_period,133,120,91,46
96,Ptolemaic_period,131,135,90,50
97,Ptolemaic_period,140,137,94,60
98,Ptolemaic_period,139,130,90,48
99,Ptolemaic_period,140,134,90,51
100,Ptolemaic_period,138,140,100,52
101,Ptolemaic_period,132,133,90,53
102,Ptolemaic_period,134,134,97,54
103,Ptolemaic_period,135,135,99,50
104,Ptolemaic_period,133,136,95,52
105,Ptolemaic_period,136,130,99,55
106,Ptolemaic_period,134,137,93,52
107,Ptolemaic_period,131,141,99,55
108,Ptolemaic_period,129,135,95,47
109,Ptolemaic_period,136,128,93,54
110,Ptolemaic_period,131,125,88,48
111,Ptolemaic_period,139,130,94,53
112,Ptolemaic_period,144,124,86,50
113,Ptolemaic_period,141,131,97,53
114,Ptolemaic_period,130,131,98,53
115,Ptolemaic_period,133,128,92,51
116,Ptolemaic_period,138,126,97,54
117,Ptolemaic_period,131,142,95,53
118,Ptolemaic_period,136,138,94,55
119,Ptolemaic_period,132,136,92,52
120,Ptolemaic_period,135,130,100,51
121,Roman_period,137,123,91,50
122,Roman_period,136,131,95,49
123,Roman_period,128,126,91,57
124,Roman_period,130,134,92,52
125,Roman_period,138,127,86,47
126,Roman_period,126,138,101,52
127,Roman_period,136,138,97,58
128,Roman_period,126,126,92,45
129,Roman_period,132,132,99,55
130,Roman_period,139,135,92,54
131,Roman_period,143,120,95,51
132,Roman_period,141,136,101,54
133,Roman_period,135,135,95,56
134,Roman_period,137,134,93,53
135,Roman_period,142,135,96,52
136,Roman_period,139,134,95,47
137,Roman_period,138,125,99,51
138,Roman_period,137,135,96,54
139,Roman_period,133,125,92,50
140,Roman_period,145,129,89,47
141,Roman_period,138,136,92,46
142,Roman_period,131,129,97,44
143,Roman_period,143,126,88,54
144,Roman_period,134,124,91,55
145,Roman_period,132,127,97,52
146,Roman_period,137,125,85,57
147,Roman_period,129,128,81,52
148,Roman_period,140,135,103,48
149,Roman_period,147,129,87,48
150,Roman_period,136,133,97,51
