Skull,Period,Maximum_breadth,Basibregmatic_height,Basialveolar_length,Nasal_height
31,Late_predynastic,124,138,101,48
32,Late_predynastic,133,134,97,48
33,Late_predynastic,138,134,98,45
34,Late_predynastic,148,129,104,51
35,Late_predynastic,126,124,95,45
36,Late_predynastic,135,136,98,52
37,Late_predynastic,132,145,100,54
38,Late_predynastic,133,130,102,48
39,Late_predynastic,131,134,96,50
40,Late_predynastic,133,125,94,46
41,Late_predynastic,133,136,103,53
42,Late_predynastic,131,139,98,51
43,Late_predynastic,131,136,99,56
44,Late_predynastic,138,134,98,49
45,Late_predynastic,130,136,104,53
46,Late_predynastic,131,128,98,45
47,Late_predynastic,138,129,107,53
48,Late_predynastic,123,131,101,51
49,Late_predynastic,130,129,105,47
50,Late_predynastic,134,130,93,54
51,Late_predynastic,137,136,106,49
52,Late_predynastic,126,131,100,48
53,Late_predynastic,135,136,97,52
54,Late_predynastic,129,126,91,50
55,Late_predynastic,134,139,101,49
56,Late_predynastic,131,134,90,53
57,Late_predynastic,132,130,104,50
58,Late_predynastic,130,132,93,52
59,Late_predynastic,135,132,98,54
60,Late_predynastic,130,128,101,51
