Skull,Period,Maximum_breadth,Basibregmatic_height,Basialveolar_length,Nasal_height
91,Ptolemaic_period,137,134,107,54
92,Ptolemaic_period,141,128,95,53
93,Ptolemaic_period,141,130,87,49
94,Ptolemaic_period,135,131,99,51
95,Ptolemaic_period,133,120,91,46
96,Ptolemaic_period,131,135,90,50
97,Ptolemaic_period,140,137,94,60
98,Ptolemaic_period,139,130,90,48
99,Ptolemaic_period,140,134,90,51
100,Ptolemaic_period,138,140,100,52
101,Ptolemaic_period,132,133,90,53
102,Ptolemaic_period,134,134,97,54
103,Ptolemaic_period,135,135,99,50
104,Ptolemaic_period,133,136,95,52
105,Ptolemaic_period,136,130,99,55
106,Ptolemaic_period,134,137,93,52
107,Ptolemaic_period,131,141,99,55
108,Ptolemaic_period,129,135,95,47
109,Ptolemaic_period,136,128,93,54
110,Ptolemaic_period,131,125,88,48
111,Ptolemaic_period,139,130,94,53
112,Ptolemaic_period,144,124,86,50
113,Ptolemaic_period,141,131,97,53
114,Ptolemaic_period,130,131,98,53
115,Ptolemaic_period,133,128,92,51
116,Ptolemaic_period,138,126,97,54
117,Ptolemaic_period,131,142,95,53
118,Ptolemaic_period,136,138,94,55
119,Ptolemaic_period,132,136,92,52
120,Ptolemaic_period,135,130,100,51
