Obs	Precio	Area	OakKnoll	Region
1	615.6	3055	0	HiddenHills
2	557.4	2731	0	HiddenHills
3	472.6	2515	0	HiddenHills
4	595.3	3011	0	HiddenHills
5	696.9	3267	1	OakKnoll
6	409.2	2061	1	OakKnoll
7	814.2	3842	1	OakKnoll
8	592.4	2777	1	OakKnoll
9	695.5	3514	0	HiddenHills
10	495.3	2145	1	OakKnoll
11	488.4	2277	1	OakKnoll
12	605.4	3200	0	HiddenHills
13	635.7	3065	0	HiddenHills
14	654.8	2998	0	HiddenHills
15	565.6	2875	0	HiddenHills
16	642.2	3000	0	HiddenHills
17	568.9	2374	1	OakKnoll
18	686.5	3393	1	OakKnoll
19	724.5	3457	0	HiddenHills
20	749.7	3754	0	HiddenHills
