Obs	Precio	SqFt	LotSize	Baths
1	505.5	2192	16.4	2.5
2	784.1	3429	24.7	3.5
3	649.0	2842	17.7	3.5
4	689.8	2987	20.3	3.5
5	709.8	3029	22.2	3.0
6	590.2	2616	20.8	2.5
7	643.3	2978	17.3	3.0
8	789.7	3595	22.4	3.5
9	683.0	2838	27.4	3.0
10	544.3	2591	19.2	2.0
11	822.8	3633	26.9	4.0
12	637.7	2822	23.1	3.0
13	618.7	2994	20.4	3.0
14	619.3	2696	22.7	3.5
15	490.5	2134	13.4	2.5
16	675.1	3076	19.8	3.0
17	710.4	3259	20.8	3.5
18	674.7	3162	19.4	4.0
19	663.6	2885	23.2	3.0
20	606.6	2550	20.2	3.0
21	758.9	3380	19.6	4.5
22	723.7	3131	22.5	3.5
23	621.8	2754	19.2	2.5
24	622.4	2710	21.6	3.0
25	631.3	2616	20.8	2.5
26	574.0	2608	17.3	3.5
27	863.8	3572	29.0	4.0
28	652.7	2924	21.8	2.5
29	844.2	3614	25.5	3.5
30	629.9	2600	24.1	3.5
